total_deliveries,ticks,pendingtasks,collisions,total_task_steps,strategy,num_agents,shelf_edge_gap,aisle_interval,shelf_rows,width,height,iteration
27.0,500.0,44.0,436.0,1811.0,centralised,10,3,10,5,20,40,0
19.0,500.0,43.0,245.0,1451.0,centralised,10,3,10,5,20,40,1
40.0,500.0,37.0,169.0,4404.0,centralised,10,3,10,5,20,40,2
27.0,500.0,40.0,165.0,2497.0,centralised,10,3,10,5,20,40,3
18.0,500.0,44.0,189.0,1202.0,centralised,10,3,10,5,20,40,4
26.0,500.0,44.0,470.0,1391.0,centralised,10,3,10,5,20,40,5
50.0,500.0,41.0,190.0,3562.0,centralised,10,3,10,5,20,40,6
48.0,500.0,37.0,431.0,3899.0,centralised,10,3,10,5,20,40,7
35.0,500.0,41.0,377.0,2754.0,centralised,10,3,10,5,20,40,8
28.0,500.0,43.0,112.0,2572.0,centralised,10,3,10,5,20,40,9
7.0,500.0,43.0,15.0,274.0,centralised,10,3,10,5,20,40,10
55.0,500.0,38.0,183.0,4337.0,centralised,10,3,10,5,20,40,11
44.0,500.0,45.0,194.0,2778.0,centralised,10,3,10,5,20,40,12
32.0,500.0,42.0,129.0,2547.0,centralised,10,3,10,5,20,40,13
39.0,500.0,45.0,189.0,2312.0,centralised,10,3,10,5,20,40,14
24.0,500.0,40.0,319.0,1617.0,centralised,10,3,10,5,20,40,15
23.0,500.0,41.0,561.0,1429.0,centralised,10,3,10,5,20,40,16
47.0,500.0,40.0,373.0,3791.0,centralised,10,3,10,5,20,40,17
36.0,500.0,42.0,338.0,2582.0,centralised,10,3,10,5,20,40,18
42.0,500.0,43.0,285.0,2928.0,centralised,10,3,10,5,20,40,19
14.0,500.0,42.0,195.0,729.0,centralised,10,3,10,5,20,40,20
45.0,500.0,41.0,222.0,2724.0,centralised,10,3,10,5,20,40,21
35.0,500.0,41.0,638.0,1959.0,centralised,10,3,10,5,20,40,22
45.0,500.0,39.0,150.0,3668.0,centralised,10,3,10,5,20,40,23
38.0,500.0,41.0,71.0,2629.0,centralised,10,3,10,5,20,40,24
31.0,500.0,42.0,394.0,3204.0,centralised,10,3,10,5,20,40,25
43.0,500.0,43.0,393.0,3283.0,centralised,10,3,10,5,20,40,26
21.0,500.0,44.0,62.0,1053.0,centralised,10,3,10,5,20,40,27
19.0,500.0,40.0,24.0,958.0,centralised,10,3,10,5,20,40,28
23.0,500.0,41.0,34.0,1378.0,centralised,10,3,10,5,20,40,29
22.0,500.0,179.0,18.0,1623.0,centralised,5,3,10,7,40,30,0
24.0,500.0,177.0,258.0,1624.0,centralised,5,3,10,7,40,30,1
21.0,500.0,178.0,43.0,1683.0,centralised,5,3,10,7,40,30,2
11.0,500.0,178.0,16.0,512.0,centralised,5,3,10,7,40,30,3
27.0,500.0,176.0,48.0,2201.0,centralised,5,3,10,7,40,30,4
26.0,500.0,177.0,44.0,2092.0,centralised,5,3,10,7,40,30,5
29.0,500.0,177.0,28.0,2296.0,centralised,5,3,10,7,40,30,6
24.0,500.0,176.0,12.0,2040.0,centralised,5,3,10,7,40,30,7
19.0,500.0,178.0,29.0,1497.0,centralised,5,3,10,7,40,30,8
28.0,500.0,177.0,24.0,1909.0,centralised,5,3,10,7,40,30,9
22.0,500.0,179.0,13.0,1212.0,centralised,5,3,10,7,40,30,10
18.0,500.0,177.0,26.0,1616.0,centralised,5,3,10,7,40,30,11
